show,date,class,competitor,division_validated,base_color,design_archetype,accent_colors,waistband_color,notes,read_confidence,needs_human_review,source_gallery_url,screenshot_file,brand,brand_source,brand_confidence
2026 NPC Junior Nationals,2026-06,A,Kyle Lavender,MP-confirmed,black,color-block panels,coral-red + white,black,white chevron panel one leg + coral panel other,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojm4/kyle_lavender,jrnats_A_kyle_lavender_23114527.jpg,HUMAN_REVIEW,MANIFEST text visible on rear waistband in sheet1 back shot = suspected Manifest,<90%
2026 NPC Junior Nationals,2026-06,B,Travis Pelser,MP-confirmed; MP photos are last 5 of gallery (rest are Classic crossover),PENDING,PENDING,mixed,,MP photos recovered ids 23114667+; Claude vision render failed - needs Brock read of screenshot,none,YES,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojl7/travis_pelser,jrnats_B_travis_pelser_MP_23114667.jpg,Manifest,"Brock: waistband, back shots",confirmed
2026 NPC Junior Nationals,2026-06,C,Sean Fong,MP-confirmed,black,color-block panels,green + white,black,green thigh panel + white hem panel,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojn0/sean_fong,jrnats_C_sean_fong_23115094.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2026 NPC Junior Nationals,2026-06,D,Bryan Uth,MP-confirmed,lavender/purple,solid + trim,white + tan stripe,black,black drawstring; white logo right leg,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojnf/bryan_uth,jrnats_D_bryan_uth_23115319.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2026 NPC Junior Nationals,2026-06,E,Craver King,MP-confirmed,light blue,color-block panels,navy,light blue/navy,navy diagonal waist panel; navy back yoke,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojno/craver_king,jrnats_E_craver_king_23115585.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2026 NPC Junior Nationals,2026-06,F,Jacob Podrezov,MP-confirmed,black,color-block/gradient,red,black (CHULA WEAR legible),brand CONFIRMED from waistband: Chula Wear,high,brand yes,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojmt/jacob_podrezov,jrnats_F_jacob_podrezov_23115711.jpg,Chula Wear,pixel-read waistband + Brock confirmed,confirmed
2026 NPC Junior Nationals,2026-06,G,Dorian Lee,MP result confirmed; athlete gallery = Classic photos only (crossover),SEE LINEUP,first-callout lineup photo substituted (cmp_g),mixed,,winner shorts unreadable from lineup at distance,low,YES,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojlk/dorian_lee,jrnats_G_dorian_lee_23114203.jpg,Brotherhood Sport Co,Brock confirmed; NOTE: same wholesaler as Different Breed,confirmed
2026 NPC Junior Nationals,2026-06,H,Brady Roberts (OVERALL),MP-confirmed,royal/medium blue,solid + trim,white piping + speckle,blue,white contour trim; small white logo,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojnw/brady_roberts,jrnats_H_brady_roberts_23116114.jpg,HUMAN_REVIEW,"small white mark, possible trident = suspected Manifest (low)",<90%
2026 NPC Junior USA,2026-05,A,Miles Pines,MP-confirmed,royal blue,color-block panels,yellow + red stripe band + white,blue,white monogram logo; white drawstring,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_usa/o93t/miles_pines,jrusa_A_Miles_Pines_22813046.jpg,HUMAN_REVIEW,interlocked monogram = unidentified (candidates: Brotherhood/FIED),<90%
2026 NPC Junior USA,2026-05,B,David Carver,MP-confirmed,black,energy/element print,red + white swirl/marble,black,white piping curve at hem,medium,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_usa/o941/david_carver,jrusa_B_David_Carver_22813101.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2026 NPC Junior USA,2026-05,C,Mohammad Samardzic,MP-confirmed,white/yellow/black,color-block panels,bold diagonal blocks,black,high-contrast diagonal color blocking,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_usa/o945/mohammad_samardzic,jrusa_C_Mohammad_Samardzic_22813212.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2026 NPC Junior USA,2026-05,D,Cole Sweetser,MP-confirmed,navy,solid + trim,red + white waist detail,navy w/ red-white,clean solid navy,medium,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_usa/o947/cole_sweetser,jrusa_D_Cole_Sweetser_22813243.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2026 NPC Junior USA,2026-05,E,Jeffrey Ijor-Woodworth,MP-confirmed,red,energy/element print,black tiger-stripe/flame,black,all-over red-black stripe print; white monogram,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_usa/o94e/jeffrey_ijorwoodworth,jrusa_E_Jeffrey_Ijor-Woodworth_22813420.jpg,HUMAN_REVIEW,interlocked monogram = unidentified,<90%
2026 NPC Junior USA,2026-05,F,Justin Kitchen,MP-confirmed,black/dark navy,solid + trim,purple geometric lines,black,purple circuit-style lines + purple drawstring; compression fit,medium,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_usa/o94g/justin_kitchen,jrusa_F_Justin_Kitchen_22813495.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2025 NPC Nationals,2025-11,A,Damante Watson,MP-confirmed,black,energy/element print,red smoke/cloud,black,red-black smoke tie-dye; monogram lower leg,high,no,https://contests.npcnewsonline.com/contests/2025/npc_national_championships/nj8v/damante_watson,nats25_A_Damante_Watson_22066409.jpg,HUMAN_REVIEW,interlocked monogram = unidentified,<90%
2025 NPC Nationals,2025-11,B,Alex Padron,MP-confirmed,maroon/burgundy,color-block panels,white curved panel + black stripe,black,,high,no,https://contests.npcnewsonline.com/contests/2025/npc_national_championships/nja5/alex_padron,nats25_B_Alex_Padron_22066648.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2025 NPC Nationals,2025-11,C,Mario Moedano,MP-confirmed,black,color-block panels,yellow hem band,black,yellow trident logo,high,no,https://contests.npcnewsonline.com/contests/2025/npc_national_championships/nj8y/mario_moedano,nats25_C_Mario_Moedano_22065413.jpg,HUMAN_REVIEW,trident mark (yellow) = suspected Manifest,<90%
2025 NPC Nationals,2025-11,D,Roland Kerr,MP-confirmed,black,single large graphic,red dragon graphic,black,red drawstring tips,high,no,https://contests.npcnewsonline.com/contests/2025/npc_national_championships/njae/roland_kerr,nats25_D_Roland_Kerr_22066847.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2025 NPC Nationals,2025-11,E,Courtney Wright,MP-confirmed,coral/red-orange,energy/element print,white curved panel,black,marble-ish coral; white trident logo on black waistband,high,no,https://contests.npcnewsonline.com/contests/2025/npc_national_championships/nj9y/courtney_wright,nats25_E_Courtney_Wright_22067767.jpg,HUMAN_REVIEW,white trident on black waistband = suspected Manifest,<90%
2025 NPC Nationals,2025-11,F,Damen Evans,MP-confirmed,black,color-block panels,yellow wrap panel,black,,medium,no,https://contests.npcnewsonline.com/contests/2025/npc_national_championships/nj9e/damen_evans,nats25_F_Damen_Evans_22068005.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2025 NPC Nationals,2025-11,G,Steven Sooby,MP-confirmed,pink-to-black gradient,energy/element print,black hem stripes,black,magenta fade,high,no,https://contests.npcnewsonline.com/contests/2025/npc_national_championships/njam/steven_sooby,nats25_G_Steven_Sooby_22068509.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2025 NPC Nationals,2025-11,H,Jarmere Burnette,MP-confirmed,black/charcoal,solid + trim,green piping/seams,black,green logo,medium,no,https://contests.npcnewsonline.com/contests/2025/npc_national_championships/njap/jarmere_burnette,nats25_H_Jarmere_Burnette_22068667.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2025 NPC North American,2025-09,A,Joseph Misleh,MP-confirmed,green-to-white gradient,energy/element print,dark diagonal hem stripes,dark,teal-green fade,high,no,https://contests.npcnewsonline.com/contests/2025/npc_north_american_championships/m68m/joseph_misleh,noram25_A_Joseph_Misleh_20672485.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2025 NPC North American,2025-09,B,Christopher Eastman,MP-confirmed,pink/magenta,single large graphic,black flame/graphic panel,black,,medium,no,https://contests.npcnewsonline.com/contests/2025/npc_north_american_championships/m693/christopher_eastman,noram25_B_Christopher_Eastman_20673420.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2025 NPC North American,2025-09,C,Nicolas Thibault,MP-confirmed,royal blue,energy/element print,white-blue lightning storm,blue,white drawstring; trident logo; closest cousin to DTB lightning,high,no,https://contests.npcnewsonline.com/contests/2025/npc_north_american_championships/m69c/nicolas_thibault,noram25_C_Nicolas_Thibault_20673605.jpg,HUMAN_REVIEW,trident mark = suspected Manifest,<90%
2025 NPC North American,2025-09,D,Kevin Cortes,MP-confirmed,black/charcoal,solid + trim,blue gradient vertical stripes + teal piping,black,,medium,no,https://contests.npcnewsonline.com/contests/2025/npc_north_american_championships/m6a5/kevin_cortes,noram25_D_Kevin_Cortes_20673876.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2025 NPC North American,2025-09,E,Jona Meme,MP-confirmed,orange/coral,color-block panels,black side panel,black,,medium,no,https://contests.npcnewsonline.com/contests/2025/npc_north_american_championships/m69m/jona_meme,noram25_E_Jona_Meme_20674005.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2025 NPC North American,2025-09,F,Devin Christiansen,MP-confirmed,black,energy/element print,orange/red lava-lightning crackle,black,orange version of lightning-crackle archetype,high,no,https://contests.npcnewsonline.com/contests/2025/npc_north_american_championships/m67j/devin_christiansen,noram25_F_Devin_Christiansen_20674252.jpg,HUMAN_REVIEW,trident-like mark = suspected Manifest,<90%
2025 NPC North American,2025-09,G,Anton Wallace Jr,MP-confirmed,gray/charcoal,solid + trim,pink/red stripes,black,white waist ties,medium,no,https://contests.npcnewsonline.com/contests/2025/npc_north_american_championships/m6cb/anton_wallace_jr,noram25_G_Anton_Wallace_Jr_20674455.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2025 NPC North American,2025-09,H,Daniel Adesina,MP-confirmed,dark gray/charcoal,single large graphic,white floral/rose line-art,black,,high,no,https://contests.npcnewsonline.com/contests/2025/npc_north_american_championships/m6ba/daniel_adesina,noram25_H_Daniel_Adesina_20674509.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2025 NPC USA Championships,2025-07,A,Micah Welch,MP-confirmed,black,solid + trim,white hem trim,black,,medium,PLEASE VERIFY vs zoomC,https://contests.npcnewsonline.com/contests/2025/npc_usa_championships/lv5w/micah_welch,usa25_A_Micah_Welch_20354314.jpg,justsuffer (SUAS),Brock confirmed,confirmed
2025 NPC USA Championships,2025-07,B,Kentron Ducree,MP-confirmed,black,single large graphic,white/gray leg graphic,black,,low,YES,https://contests.npcnewsonline.com/contests/2025/npc_usa_championships/lv5y/kentron_ducree,usa25_B_Kentron_Ducree_20355300.jpg,Chula Wear,Brock confirmed,confirmed
2025 NPC USA Championships,2025-07,C,Diego Meza,MP-confirmed,blue/teal,energy/element print,white pattern,black,,low,YES,https://contests.npcnewsonline.com/contests/2025/npc_usa_championships/lv81/diego_meza,usa25_C_Diego_Meza_20354297.jpg,Alite Wear,Brock confirmed,confirmed
2025 NPC USA Championships,2025-07,D,Ricky Torres,MP-confirmed,black,color-block panels,red,black,,low,YES,https://contests.npcnewsonline.com/contests/2025/npc_usa_championships/lv6j/ricky_torres,usa25_D_Ricky_Torres_20355411.jpg,FIED,Brock confirmed,confirmed
2025 NPC USA Championships,2025-07,E,Jalen Fray,MP-confirmed,black,solid + trim,white drawstring,black,,low,YES,https://contests.npcnewsonline.com/contests/2025/npc_usa_championships/lv8a/jalen_fray,usa25_E_Jalen_Fray_20356206.jpg,Absolute Aesthetics,Brock confirmed,confirmed
2025 NPC USA Championships,2025-07,F,Lucas Santos Da Silva,MP-confirmed,black/dark,color-block panels,gold/yellow,black,,low,YES,https://contests.npcnewsonline.com/contests/2025/npc_usa_championships/lv6t/lucas_santos_da_silva,usa25_F_Lucas_Santos_Da_Silva_20358659.jpg,Chula Wear,Brock confirmed,confirmed
2025 NPC USA Championships,2025-07,G,Maksym Shevelin,MP-confirmed,black,solid + trim,white side stripe,black,,low,YES,https://contests.npcnewsonline.com/contests/2025/npc_usa_championships/lv7q/maksym_shevelin,usa25_G_Maksym_Shevelin_20358218.jpg,Alite Wear,Brock confirmed,confirmed
2025 NPC USA Championships,2025-07,H,Damien Bentley,SUSPECT: zoomC r2c4 appears Classic trunks (crossover gallery),,,,black,use comparisons/2025_NPC_USA_Championships_classH lineup instead,none,YES,https://contests.npcnewsonline.com/contests/2025/npc_usa_championships/lv5h/damien_bentley,usa25_H_Damien_Bentley_20352434.jpg,Darc Sport,Brock confirmed; 'Wolves' waistband,confirmed
2025 NPC Universe,2025-08,A,Deontay Crawford,MP-confirmed,,,,,tile resolution insufficient,none,YES,https://contests.npcnewsonline.com/contests/2025/npc_universe/lmvr/deontay_crawford,univ25_A_Deontay_Crawford_20054845.jpg,Chula Wear,Brock confirmed,confirmed
2025 NPC Universe,2025-08,B,Vincent Davenport,MP-confirmed,,,,,tile resolution insufficient,none,YES,https://contests.npcnewsonline.com/contests/2025/npc_universe/lmwc/vincent_davenport,univ25_B_Vincent_Davenport_20055205.jpg,Manifest,Brock: waistband,confirmed
2025 NPC Universe,2025-08,C,Ramir Kelly,MP-confirmed,,,,,tile resolution insufficient,none,YES,https://contests.npcnewsonline.com/contests/2025/npc_universe/lmyh/ramir_kelly,univ25_C_Ramir_Kelly_20055377.jpg,Chula Wear,Brock confirmed,confirmed
2025 NPC Universe,2025-08,D,Alex Gaulke,MP-confirmed,,,,,tile resolution insufficient,none,YES,https://contests.npcnewsonline.com/contests/2025/npc_universe/lmuc/alex_gaulke,univ25_D_Alex_Gaulke_20055541.jpg,Chula Wear,Brock confirmed,confirmed
2025 NPC Universe,2025-08,E,Will Anderson,MP-confirmed,,,,,tile resolution insufficient,none,YES,https://contests.npcnewsonline.com/contests/2025/npc_universe/lmy6/will_anderson,univ25_E_Will_Anderson_20055649.jpg,Manifest,Brock confirmed,confirmed
2025 NPC Universe,2025-08,F,Matthew Busardo,MP-confirmed,,,,,tile resolution insufficient,none,YES,https://contests.npcnewsonline.com/contests/2025/npc_universe/lmxw/matthew_busardo,univ25_F_Matthew_Busardo_20055706.jpg,Manifest,Brock confirmed,confirmed
2025 NPC Universe,2025-08,G,Sidharth Balakrishnan,MP-confirmed,,,,,tile resolution insufficient,none,YES,https://contests.npcnewsonline.com/contests/2025/npc_universe/lmyu/sidharth_balakrishnan,univ25_G_Sidharth_Balakrishnan_20053765.jpg,Chula Wear,Brock confirmed,confirmed
2025 NPC Universe,2025-08,H,Deon Smith,MP-confirmed,,,,,tile resolution insufficient,none,YES,https://contests.npcnewsonline.com/contests/2025/npc_universe/lmza/deon_smith,univ25_H_Deon_Smith_20055825.jpg,Darc Sport,Brock confirmed,confirmed
